ApplNo	ProductNo	Form	RoutsOfAdministration	DrugName	ActiveIngredient
002245	004	TABLET	ORAL	PROLOID	THYROGLOBULIN
002245	005	TABLET	ORAL	PROLOID	THYROGLOBULIN
002245	007	TABLET	ORAL	PROLOID	THYROGLOBULIN
002245	008	TABLET	ORAL	PROLOID	THYROGLOBULIN
002245	009	TABLET	ORAL	PROLOID	THYROGLOBULIN
002245	010	TABLET	ORAL	PROLOID	THYROGLOBULIN
002282	001	INJECTABLE	INJECTION	INULIN AND SODIUM CHLORIDE	INULIN
002386	002	TABLET	ORAL	AMINOPHYLLIN	AMINOPHYLLINE
002386	003	TABLET	ORAL	AMINOPHYLLIN	AMINOPHYLLINE
002918	001	POWDER	TOPICAL	BENSULFOID	SULFUR
003158	001	TABLET	ORAL	ORETON METHYL	METHYLTESTOSTERONE
003158	002	TABLET	ORAL	ORETON METHYL	METHYLTESTOSTERONE
003240	001	TABLET	BUCCAL_SUBLINGUAL	METANDREN	METHYLTESTOSTERONE
003240	003	TABLET	BUCCAL_SUBLINGUAL	METANDREN	METHYLTESTOSTERONE
003240	004	TABLET	BUCCAL_SUBLINGUAL	METANDREN	METHYLTESTOSTERONE
003240	005	TABLET	BUCCAL_SUBLINGUAL	METANDREN	METHYLTESTOSTERONE
003402	001	INJECTABLE	INJECTION	PITRESSIN TANNATE	VASOPRESSIN TANNATE
003444	001	CAPSULE	ORAL	DRISDOL	ERGOCALCIFEROL
003718	004	INJECTABLE	INJECTION	SYNKAYVITE	MENADIOL SODIUM DIPHOSPHATE
003718	006	INJECTABLE	INJECTION	SYNKAYVITE	MENADIOL SODIUM DIPHOSPHATE
003718	008	INJECTABLE	INJECTION	SYNKAYVITE	MENADIOL SODIUM DIPHOSPHATE
003718	010	TABLET	ORAL	SYNKAYVITE	MENADIOL SODIUM DIPHOSPHATE
003977	001	INJECTABLE	INJECTION	THEELIN	ESTRONE
003977	002	INJECTABLE	INJECTION	THEELIN	ESTRONE
003977	003	INJECTABLE	INJECTION	THEELIN	ESTRONE
004039	002	TABLET_DELAYED_RELEASE	ORAL	DIETHYLSTILBESTROL	DIETHYLSTILBESTROL
004039	003	TABLET_DELAYED_RELEASE	ORAL	DIETHYLSTILBESTROL	DIETHYLSTILBESTROL
004039	004	TABLET_DELAYED_RELEASE	ORAL	DIETHYLSTILBESTROL	DIETHYLSTILBESTROL
004039	005	TABLET_DELAYED_RELEASE	ORAL	DIETHYLSTILBESTROL	DIETHYLSTILBESTROL
004039	006	TABLET_DELAYED_RELEASE	ORAL	DIETHYLSTILBESTROL	DIETHYLSTILBESTROL
004040	001	SUPPOSITORY	VAGINAL	DIETHYLSTILBESTROL	DIETHYLSTILBESTROL
004040	002	SUPPOSITORY	VAGINAL	DIETHYLSTILBESTROL	DIETHYLSTILBESTROL
004041	002	TABLET	ORAL	DIETHYLSTILBESTROL	DIETHYLSTILBESTROL
004041	003	TABLET	ORAL	DIETHYLSTILBESTROL	DIETHYLSTILBESTROL
004041	004	TABLET	ORAL	DIETHYLSTILBESTROL	DIETHYLSTILBESTROL
004041	005	TABLET	ORAL	DIETHYLSTILBESTROL	DIETHYLSTILBESTROL
004054	001	TABLET	ORAL	SULFADIAZINE	SULFADIAZINE
004054	002	INJECTABLE	INJECTION	SULFADIAZINE SODIUM	SULFADIAZINE SODIUM
004056	001	SUPPOSITORY	VAGINAL	STILBESTROL	DIETHYLSTILBESTROL
004056	002	SUPPOSITORY	VAGINAL	STILBESTROL	DIETHYLSTILBESTROL
004056	003	INJECTABLE	INJECTION	STILBESTROL	DIETHYLSTILBESTROL
004056	004	INJECTABLE	INJECTION	STILBESTROL	DIETHYLSTILBESTROL
004056	005	INJECTABLE	INJECTION	STILBESTROL	DIETHYLSTILBESTROL
004056	006	INJECTABLE	INJECTION	STILBESTROL	DIETHYLSTILBESTROL
004056	007	TABLET	ORAL	STILBETIN	DIETHYLSTILBESTROL
004056	008	TABLET	ORAL	STILBETIN	DIETHYLSTILBESTROL
004056	009	TABLET	ORAL	STILBETIN	DIETHYLSTILBESTROL
004056	010	TABLET	ORAL	STILBETIN	DIETHYLSTILBESTROL
004056	011	TABLET_DELAYED_RELEASE	ORAL	STILBETIN	DIETHYLSTILBESTROL
004056	012	TABLET_DELAYED_RELEASE	ORAL	STILBETIN	DIETHYLSTILBESTROL
004056	013	TABLET_DELAYED_RELEASE	ORAL	STILBETIN	DIETHYLSTILBESTROL
004056	014	TABLET_DELAYED_RELEASE	ORAL	STILBETIN	DIETHYLSTILBESTROL
004056	017	TABLET	ORAL	STILBETIN	DIETHYLSTILBESTROL
004122	002	TABLET	ORAL	SULFADIAZINE	SULFADIAZINE
004125	005	TABLET	ORAL	SULFADIAZINE	SULFADIAZINE
004570	001	INJECTABLE	INJECTION	HEPARIN SODIUM	HEPARIN SODIUM
004570	002	INJECTABLE	INJECTION	HEPARIN SODIUM	HEPARIN SODIUM
004570	003	INJECTABLE	INJECTION	HEPARIN SODIUM	HEPARIN SODIUM
004589	004	INJECTABLE	INJECTION	ALCOHOL 5% AND DEXTROSE 5%	ALCOHOL; DEXTROSE
004589	006	INJECTABLE	INJECTION	ALCOHOL 10% AND DEXTROSE 5%	ALCOHOL; DEXTROSE
004782	001	TABLET	ORAL	PREMARIN	ESTROGENS, CONJUGATED
004782	002	TABLET	ORAL	PREMARIN	ESTROGENS, CONJUGATED
004782	003	TABLET	ORAL	PREMARIN	ESTROGENS, CONJUGATED
004782	004	TABLET	ORAL	PREMARIN	ESTROGENS, CONJUGATED
004782	005	TABLET	ORAL	PREMARIN	ESTROGENS, CONJUGATED
004782	006	TABLET	ORAL	PREMARIN	ESTROGENS, CONJUGATED
005010	001	TABLET	ORAL	DEMEROL	MEPERIDINE HYDROCHLORIDE
005010	002	INJECTABLE	INJECTION	DEMEROL	MEPERIDINE HYDROCHLORIDE
005010	003	INJECTABLE	INJECTION	DEMEROL	MEPERIDINE HYDROCHLORIDE
005010	004	TABLET	ORAL	DEMEROL	MEPERIDINE HYDROCHLORIDE
005010	005	SYRUP	ORAL	DEMEROL	MEPERIDINE HYDROCHLORIDE
005010	007	INJECTABLE	INJECTION	DEMEROL	MEPERIDINE HYDROCHLORIDE
005010	009	INJECTABLE	INJECTION	DEMEROL	MEPERIDINE HYDROCHLORIDE
005151	001	PELLET	IMPLANTATION	PERCORTEN	DESOXYCORTICOSTERONE ACETATE
005213	001	TABLET	ORAL	HYCODAN	HOMATROPINE METHYLBROMIDE; HYDROCODONE BITARTRATE
005213	002	SYRUP	ORAL	HYCODAN	HOMATROPINE METHYLBROMIDE; HYDROCODONE BITARTRATE
005264	004	INJECTABLE	INJECTION	PANHEPRIN	HEPARIN SODIUM
005264	006	INJECTABLE	INJECTION	PANHEPRIN	HEPARIN SODIUM
005264	007	INJECTABLE	INJECTION	PANHEPRIN	HEPARIN SODIUM
005264	008	INJECTABLE	INJECTION	PANHEPRIN	HEPARIN SODIUM
005264	009	INJECTABLE	INJECTION	PANHEPRIN	HEPARIN SODIUM
005264	010	INJECTABLE	INJECTION	HEPARIN LOCK FLUSH	HEPARIN SODIUM
005264	013	INJECTABLE	INJECTION	HEPARIN SODIUM PRESERVATIVE FREE	HEPARIN SODIUM
005264	014	INJECTABLE	INJECTION	HEPARIN SODIUM PRESERVATIVE FREE	HEPARIN SODIUM
005292	001	TABLET	ORAL	ESTINYL	ETHINYL ESTRADIOL
005292	002	TABLET	ORAL	ESTINYL	ETHINYL ESTRADIOL
005292	003	TABLET	ORAL	ESTINYL	ETHINYL ESTRADIOL
005319	001	INJECTABLE	INJECTION	PANTOPAQUE	IOPHENDYLATE
005378	002	TABLET	ORAL	DESOXYN	METHAMPHETAMINE HYDROCHLORIDE
005378	003	TABLET_EXTENDED_RELEASE	ORAL	DESOXYN	METHAMPHETAMINE HYDROCHLORIDE
005378	004	TABLET_EXTENDED_RELEASE	ORAL	DESOXYN	METHAMPHETAMINE HYDROCHLORIDE
005378	005	TABLET_EXTENDED_RELEASE	ORAL	DESOXYN	METHAMPHETAMINE HYDROCHLORIDE
005490	002	TABLET	ORAL	LYNORAL	ETHINYL ESTRADIOL
005490	003	TABLET	ORAL	LYNORAL	ETHINYL ESTRADIOL
005509	001	CAPSULE	ORAL	DICUMAROL	DICUMAROL
005509	003	CAPSULE	ORAL	DICUMAROL	DICUMAROL
005521	001	INJECTABLE	INJECTION	HEPARIN SODIUM	HEPARIN SODIUM
005521	002	INJECTABLE	INJECTION	HEPARIN SODIUM	HEPARIN SODIUM
005521	004	INJECTABLE	INJECTION	HEPARIN SODIUM	HEPARIN SODIUM
005545	003	TABLET	ORAL	DICUMAROL	DICUMAROL
005545	004	TABLET	ORAL	DICUMAROL	DICUMAROL
005545	005	TABLET	ORAL	DICUMAROL	DICUMAROL
005619	001	INJECTABLE	INJECTION	AMINOHIPPURATE SODIUM	AMINOHIPPURATE SODIUM
005620	001	INJECTABLE	INJECTION	MANNITOL 25%	MANNITOL
005657	001	INJECTABLE	INJECTION	TUBOCURARINE CHLORIDE	TUBOCURARINE CHLORIDE
005691	002	TABLET	ORAL	VERTAVIS	VERATRUM VIRIDE ROOT
005725	001	INJECTABLE	INJECTION	KAPPADIONE	MENADIOL SODIUM DIPHOSPHATE
005794	001	CREAM	VAGINAL	SULTRIN	TRIPLE SULFA (SULFABENZAMIDE;SULFACETAMIDE;SULFATHIAZOLE)
005794	002	TABLET	VAGINAL	SULTRIN	TRIPLE SULFA (SULFABENZAMIDE;SULFACETAMIDE;SULFATHIAZOLE)
005795	001	OINTMENT	TOPICAL	FURACIN	NITROFURAZONE
005845	001	CAPSULE	ORAL	BENADRYL	DIPHENHYDRAMINE HYDROCHLORIDE
005845	004	ELIXIR	ORAL	BENADRYL	DIPHENHYDRAMINE HYDROCHLORIDE
005845	007	CAPSULE	ORAL	BENADRYL	DIPHENHYDRAMINE HYDROCHLORIDE
005856	002	SOLUTION	ORAL	TRIDIONE	TRIMETHADIONE
005856	005	CAPSULE	ORAL	TRIDIONE	TRIMETHADIONE
005856	009	TABLET	ORAL	TRIDIONE	TRIMETHADIONE
005897	004	TABLET	ORAL	FOLVITE	FOLIC ACID
005897	008	INJECTABLE	INJECTION	FOLVITE	FOLIC ACID
005914	002	TABLET	ORAL	PBZ	TRIPELENNAMINE HYDROCHLORIDE
005914	004	ELIXIR	ORAL	PBZ	TRIPELENNAMINE CITRATE
005929	001	INJECTABLE	INJECTION	D.H.E. 45	DIHYDROERGOTAMINE MESYLATE
005932	012	INJECTABLE	INJECTION	AMINOSOL 5%	PROTEIN HYDROLYSATE
005939	001	INJECTABLE	INJECTION	BAL	DIMERCAPROL
005963	001	SOLUTION_DROPS	OPHTHALMIC	SODIUM SULAMYD	SULFACETAMIDE SODIUM
005963	002	OINTMENT	OPHTHALMIC	SODIUM SULAMYD	SULFACETAMIDE SODIUM
005963	003	SOLUTION_DROPS	OPHTHALMIC	SODIUM SULAMYD	SULFACETAMIDE SODIUM
005970	004	INJECTABLE	INJECTION	SOTRADECOL	SODIUM TETRADECYL SULFATE
005970	005	INJECTABLE	INJECTION	SOTRADECOL	SODIUM TETRADECYL SULFATE
006002	001	TABLET	ORAL	ARALEN	CHLOROQUINE PHOSPHATE
006002	002	INJECTABLE	INJECTION	ARALEN HYDROCHLORIDE	CHLOROQUINE HYDROCHLORIDE
006008	001	TABLET	ORAL	MESANTOIN	MEPHENYTOIN
006012	003	CAPSULE	ORAL	FOLVRON	FERROUS SULFATE; FOLIC ACID
006035	003	TABLET	ORAL	METHERGINE	METHYLERGONOVINE MALEATE
006035	004	INJECTABLE	INJECTION	METHERGINE	METHYLERGONOVINE MALEATE
006044	003	TABLET_DELAYED_RELEASE	ORAL	DIASONE SODIUM	SULFOXONE SODIUM
006071	003	INJECTABLE	INJECTION	BEROCCA PN	ASCORBIC ACID; BIOTIN; CYANOCOBALAMIN; DEXPANTHENOL; ERGOCALCIFEROL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A PALMITATE; VITAMIN E
006095	001	INJECTABLE	INJECTION	TUBOCURARINE CHLORIDE	TUBOCURARINE CHLORIDE
006110	005	CREAM	VAGINAL	DIENESTROL	DIENESTROL
006134	002	TABLET	ORAL	DOLOPHINE HYDROCHLORIDE	METHADONE HYDROCHLORIDE
006134	004	SYRUP	ORAL	DOLOPHINE HYDROCHLORIDE	METHADONE HYDROCHLORIDE
006134	010	TABLET	ORAL	DOLOPHINE HYDROCHLORIDE	METHADONE HYDROCHLORIDE
006135	003	TABLET	ORAL	FOLIC ACID	FOLIC ACID
006146	001	INJECTABLE	INJECTION	BENADRYL	DIPHENHYDRAMINE HYDROCHLORIDE
006146	002	INJECTABLE	INJECTION	BENADRYL	DIPHENHYDRAMINE HYDROCHLORIDE
006170	003	INJECTABLE	INJECTION	HYPROTIGEN 5%	PROTEIN HYDROLYSATE
006188	001	TABLET	ORAL	PROPYLTHIOURACIL	PROPYLTHIOURACIL
006203	001	INJECTABLE	INJECTION	HEAVY SOLUTION NUPERCAINE	DIBUCAINE HYDROCHLORIDE
006213	001	TABLET	ORAL	PROPYLTHIOURACIL	PROPYLTHIOURACIL
006270	003	SOAP	TOPICAL	GAMOPHEN	HEXACHLOROPHENE
006309	001	CREAM	TOPICAL	KWELL	LINDANE
006309	003	LOTION	TOPICAL	KWELL	LINDANE
006317	007	SUSPENSION	ORAL	SULFONAMIDES DUPLEX	SULFADIAZINE; SULFAMERAZINE
006317	011	TABLET	ORAL	NEOTRIZINE	TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE)
006317	012	SUSPENSION	ORAL	NEOTRIZINE	TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE)
006325	001	INJECTABLE	INJECTION	TUBOCURARINE CHLORIDE	TUBOCURARINE CHLORIDE
006327	002	SOLUTION	INHALATION	ISUPREL	ISOPROTERENOL HYDROCHLORIDE
006327	003	SOLUTION	INHALATION	ISUPREL	ISOPROTERENOL HYDROCHLORIDE
006328	001	TABLET	RECTAL_SUBLINGUAL	ISUPREL	ISOPROTERENOL HYDROCHLORIDE
006328	002	TABLET	RECTAL_SUBLINGUAL	ISUPREL	ISOPROTERENOL HYDROCHLORIDE
006333	008	ELIXIR	ORAL	SYNOPHYLATE	THEOPHYLLINE SODIUM GLYCINATE
006343	002	INJECTABLE	INJECTION	WYDASE	HYALURONIDASE
006343	005	INJECTABLE	INJECTION	WYDASE	HYALURONIDASE
006343	006	INJECTABLE	INJECTION	WYDASE	HYALURONIDASE
006383	002	POWDER	FOR_RX_COMPOUNDING	METHADONE HYDROCHLORIDE	METHADONE HYDROCHLORIDE
006383	003	POWDER	FOR_RX_COMPOUNDING	METHADONE HYDROCHLORIDE	METHADONE HYDROCHLORIDE
006383	004	POWDER	FOR_RX_COMPOUNDING	METHADONE HYDROCHLORIDE	METHADONE HYDROCHLORIDE
006403	005	INJECTABLE	INJECTION	PRISCOLINE	TOLAZOLINE HYDROCHLORIDE
006412	014	TABLET	ORAL	DECAPRYN	DOXYLAMINE SUCCINATE
006412	015	TABLET	ORAL	DECAPRYN	DOXYLAMINE SUCCINATE
006441	001	TABLET	ORAL	CAMOQUIN HYDROCHLORIDE	AMODIAQUINE HYDROCHLORIDE
006459	001	TABLET	ORAL	HETRAZAN	DIETHYLCARBAMAZINE CITRATE
006460	002	INJECTABLE	INJECTION	PROTAMINE SULFATE	PROTAMINE SULFATE
006470	001	INJECTABLE	INJECTION	CALCIUM GLUCEPTATE	CALCIUM GLUCEPTATE
006488	002	INJECTABLE	INJECTION	XYLOCAINE	LIDOCAINE HYDROCHLORIDE
006488	003	INJECTABLE	INJECTION	XYLOCAINE W/ EPINEPHRINE	EPINEPHRINE; LIDOCAINE HYDROCHLORIDE
006488	004	INJECTABLE	INJECTION	XYLOCAINE W/ EPINEPHRINE	EPINEPHRINE; LIDOCAINE HYDROCHLORIDE
006488	005	INJECTABLE	INJECTION	XYLOCAINE W/ EPINEPHRINE	EPINEPHRINE; LIDOCAINE HYDROCHLORIDE
006488	007	INJECTABLE	INJECTION	XYLOCAINE	LIDOCAINE HYDROCHLORIDE
006488	008	INJECTABLE	INJECTION	XYLOCAINE	LIDOCAINE HYDROCHLORIDE
006488	010	INJECTABLE	INJECTION	XYLOCAINE	LIDOCAINE HYDROCHLORIDE
006488	012	INJECTABLE	INJECTION	XYLOCAINE W/ EPINEPHRINE	EPINEPHRINE; LIDOCAINE HYDROCHLORIDE
006488	017	INJECTABLE	INJECTION	XYLOCAINE W/ EPINEPHRINE	EPINEPHRINE; LIDOCAINE HYDROCHLORIDE
006488	018	INJECTABLE	INJECTION	XYLOCAINE W/ EPINEPHRINE	EPINEPHRINE; LIDOCAINE HYDROCHLORIDE
006488	019	INJECTABLE	INJECTION	XYLOCAINE W/ EPINEPHRINE	EPINEPHRINE; LIDOCAINE HYDROCHLORIDE
006514	004	SYRUP	ORAL	BENYLIN	DIPHENHYDRAMINE HYDROCHLORIDE
006525	001	TABLET	ORAL	GANTRISIN	SULFISOXAZOLE
006530	003	CREAM	VAGINAL	AVC	SULFANILAMIDE
006530	004	SUPPOSITORY	VAGINAL	AVC	SULFANILAMIDE
006536	001	INJECTABLE	INJECTION	URECHOLINE	BETHANECHOL CHLORIDE
006536	002	TABLET	ORAL	URECHOLINE	BETHANECHOL CHLORIDE
006536	003	TABLET	ORAL	URECHOLINE	BETHANECHOL CHLORIDE
006536	004	TABLET	ORAL	URECHOLINE	BETHANECHOL CHLORIDE
006536	005	TABLET	ORAL	URECHOLINE	BETHANECHOL CHLORIDE
006580	001	INJECTABLE	INJECTION	AMMONIUM CHLORIDE 0.9% IN NORMAL SALINE	AMMONIUM CHLORIDE
006620	001	TABLET	ORAL	CAFERGOT	CAFFEINE; ERGOTAMINE TARTRATE
006632	003	INJECTABLE	INJECTION	METUBINE IODIDE	METOCURINE IODIDE
006668	010	INJECTABLE	INJECTION	REDISOL	CYANOCOBALAMIN
006695	001	INJECTABLE	INJECTION	MUSTARGEN	MECHLORETHAMINE HYDROCHLORIDE
006772	001	INJECTABLE	INJECTION	VASOXYL	METHOXAMINE HYDROCHLORIDE
006772	002	INJECTABLE	INJECTION	VASOXYL	METHOXAMINE HYDROCHLORIDE
006773	003	TABLET	ORAL	ARTANE	TRIHEXYPHENIDYL HYDROCHLORIDE
006773	005	TABLET	ORAL	ARTANE	TRIHEXYPHENIDYL HYDROCHLORIDE
006773	009	ELIXIR	ORAL	ARTANE	TRIHEXYPHENIDYL HYDROCHLORIDE
006773	010	CAPSULE_EXTENDED_RELEASE	ORAL	ARTANE	TRIHEXYPHENIDYL HYDROCHLORIDE
006798	001	INJECTABLE	INJECTION	BERUBIGEN	CYANOCOBALAMIN
006799	002	INJECTABLE	INJECTION	RUBRAMIN PC	CYANOCOBALAMIN
006799	004	INJECTABLE	INJECTION	RUBRAMIN PC	CYANOCOBALAMIN
006799	010	INJECTABLE	INJECTION	RUBRAMIN PC	CYANOCOBALAMIN
006800	001	CAPSULE	ORAL	PARADIONE	PARAMETHADIONE
006800	002	SOLUTION	ORAL	PARADIONE	PARAMETHADIONE
006800	003	CAPSULE	ORAL	PARADIONE	PARAMETHADIONE
006811	001	TABLET	ORAL	PARASAL	AMINOSALICYLIC ACID
006811	002	TABLET	ORAL	PARASAL	AMINOSALICYLIC ACID
006811	006	TABLET	ORAL	PARASAL SODIUM	AMINOSALICYLATE SODIUM
006811	011	TABLET	ORAL	PARASAL SODIUM	AMINOSALICYLATE SODIUM
006823	001	INJECTABLE	INJECTION	AQUASOL A	VITAMIN A PALMITATE
006882	001	EMULSION	TOPICAL	PHISOHEX	HEXACHLOROPHENE
006904	001	TABLET	ORAL	TERFONYL	TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE)
006904	002	SUSPENSION	ORAL	TERFONYL	TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE)
006905	002	POWDER	INHALATION	NORISODRINE	ISOPROTERENOL SULFATE
006905	003	POWDER	INHALATION	NORISODRINE	ISOPROTERENOL SULFATE
006917	001	INJECTABLE	INJECTION	GANTRISIN	SULFISOXAZOLE DIOLAMINE
006920	002	TABLET	ORAL	TRIPLE SULFAS	TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE)
006920	003	SUSPENSION	ORAL	TRIPLE SULFAS	TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE)
006921	002	TABLET	ORAL	CHLOR-TRIMETON	CHLORPHENIRAMINE MALEATE
006921	006	SYRUP	ORAL	CHLOR-TRIMETON	CHLORPHENIRAMINE MALEATE
006927	001	CREAM	TOPICAL	EURAX	CROTAMITON
006931	002	INJECTABLE	INJECTION	SYNCURINE	DECAMETHONIUM BROMIDE
007012	002	INJECTABLE	INJECTION	VI-TWEL	CYANOCOBALAMIN
007073	001	TABLET	ORAL	AZULFIDINE	SULFASALAZINE
007073	002	TABLET_DELAYED_RELEASE	ORAL	AZULFIDINE EN-TABS	SULFASALAZINE
007085	002	INJECTABLE	INJECTION	CYANOCOBALAMIN	CYANOCOBALAMIN
007110	002	INJECTABLE	INJECTION	CORTONE	CORTISONE ACETATE
007110	003	INJECTABLE	INJECTION	CORTONE	CORTISONE ACETATE
007245	001	SOLUTION	INHALATION	AEROLONE	ISOPROTERENOL HYDROCHLORIDE
007320	002	TABLET	ORAL	TEEBACIN	AMINOSALICYLATE SODIUM
007335	001	CAPSULE	ORAL	PRONESTYL	PROCAINAMIDE HYDROCHLORIDE
007335	002	INJECTABLE	INJECTION	PRONESTYL	PROCAINAMIDE HYDROCHLORIDE
007335	003	CAPSULE	ORAL	PRONESTYL	PROCAINAMIDE HYDROCHLORIDE
007335	004	CAPSULE	ORAL	PRONESTYL	PROCAINAMIDE HYDROCHLORIDE
007335	005	INJECTABLE	INJECTION	PRONESTYL	PROCAINAMIDE HYDROCHLORIDE
007336	002	TABLET	ORAL	VERILOID	ALKAVERVIR
007336	003	TABLET	ORAL	VERILOID	ALKAVERVIR
007337	005	TABLET	ORAL	PERCODAN-DEMI	ASPIRIN; OXYCODONE HYDROCHLORIDE; OXYCODONE TEREPHTHALATE
007337	006	TABLET	ORAL	PERCODAN	ASPIRIN; OXYCODONE HYDROCHLORIDE; OXYCODONE TEREPHTHALATE
007337	007	TABLET	ORAL	PERCODAN	ASPIRIN; OXYCODONE HYDROCHLORIDE
007390	001	TABLET	ORAL	BANTHINE	METHANTHELINE BROMIDE
007392	002	INJECTABLE	INJECTION	SECONAL SODIUM	SECOBARBITAL SODIUM
007409	001	TABLET	ORAL	BENTYL	DICYCLOMINE HYDROCHLORIDE
007409	003	CAPSULE	ORAL	BENTYL	DICYCLOMINE HYDROCHLORIDE
007413	001	INJECTABLE	INJECTION	PROTAMINE SULFATE	PROTAMINE SULFATE
007413	002	INJECTABLE	INJECTION	PROTAMINE SULFATE	PROTAMINE SULFATE
007504	002	INJECTABLE	INJECTION	ACTHAR	CORTICOTROPIN
007504	003	INJECTABLE	INJECTION	ACTHAR	CORTICOTROPIN
007513	001	INJECTABLE	INJECTION	LEVOPHED	NOREPINEPHRINE BITARTRATE
007517	002	TABLET	ORAL	TAPAZOLE	METHIMAZOLE
007517	004	TABLET	ORAL	TAPAZOLE	METHIMAZOLE
007529	002	INJECTABLE	INJECTION	QUINIDINE GLUCONATE	QUINIDINE GLUCONATE
007600	003	INJECTABLE	INJECTION	SURITAL	THIAMYLAL SODIUM
007600	005	INJECTABLE	INJECTION	SURITAL	THIAMYLAL SODIUM
007600	009	INJECTABLE	INJECTION	SURITAL	THIAMYLAL SODIUM
007638	001	TABLET_EXTENDED_RELEASE	ORAL	CHLOR-TRIMETON	CHLORPHENIRAMINE MALEATE
007638	002	TABLET_EXTENDED_RELEASE	ORAL	CHLOR-TRIMETON	CHLORPHENIRAMINE MALEATE
007707	001	TABLET	ORAL	PHENURONE	PHENACEMIDE
007750	003	TABLET	ORAL	CORTONE	CORTISONE ACETATE
007757	002	SOLUTION_DROPS	OPHTHALMIC	GANTRISIN	SULFISOXAZOLE DIOLAMINE
007794	001	TABLET	ORAL	NEOTHYLLINE	DYPHYLLINE
007794	002	TABLET	ORAL	NEOTHYLLINE	DYPHYLLINE
007794	003	ELIXIR	ORAL	NEOTHYLLINE	DYPHYLLINE
007842	001	INJECTABLE	INJECTION	FLAXEDIL	GALLAMINE TRIETHIODIDE
007842	002	INJECTABLE	INJECTION	FLAXEDIL	GALLAMINE TRIETHIODIDE
007865	002	INJECTABLE	INJECTION	POTASSIUM CHLORIDE	POTASSIUM CHLORIDE
007883	002	TABLET	ORAL	ANTABUSE	DISULFIRAM
007883	003	TABLET	ORAL	ANTABUSE	DISULFIRAM
007898	004	TABLET	ORAL	BENEMID	PROBENECID
007935	002	TABLET	ORAL	PHENERGAN	PROMETHAZINE HYDROCHLORIDE
007935	003	TABLET	ORAL	PHENERGAN	PROMETHAZINE HYDROCHLORIDE
007935	004	TABLET	ORAL	PHENERGAN	PROMETHAZINE HYDROCHLORIDE
